,employeeID,CountryOfBirth,name,phone,email,gender,birthdate,hiredate,department,role,salary,SSID
3374,910605966,India,அக்னிமுகி,+1-830-994-1757,eyuutikaa@example.com,female,1983-02-08,2022-04-19,Engineering,Senior Software Engineer,182899,173-61-3738
8607,170154452,USA,James Garcia,+1-738-257-4469x3582,bobby96@example.org,male,1995-11-19,2023-11-03,Engineering,Senior Software Engineer,195978,745-40-5103
5163,104380346,USA,Steven Rodriguez,001-549-411-4843x2687,sotomatthew@example.com,male,2002-08-11,2023-09-05,Engineering,Backend Engineer,111797,109-39-6989
3036,681130724,India,மணிமுடி,(645)238-0169x10540,rmnnnnn37@example.org,male,1966-02-13,2024-12-08,Sales,Sales Development Rep,63291,871-95-1870
3847,592426387,USA,Christopher Buchanan,(218)877-8456x163,mark11@example.com,male,1970-04-13,2020-06-05,Human Resources,HR Business Partner,84047,502-23-2769
7713,998722347,USA,Shannon Hogan,001-895-618-4352,william86@example.org,female,1982-06-17,2024-09-01,Engineering,Senior Software Engineer,176953,697-48-5112
7523,338293928,USA,Michael Rodriguez,713.566.4279x0184,imiller@example.net,male,1973-12-07,2024-10-30,Administrative,Technology Administrative Assistant,47524,897-39-2896
5388,343743218,USA,Samuel Gutierrez,945-500-5677x918,adkinsemily@example.com,male,1986-12-09,2019-04-02,Product Management,VP of Product,214591,146-79-1573
7588,529984279,USA,Jeremy Ford,(836)369-4426,garynelson@example.net,male,1981-05-27,2013-05-03,Marketing,Marketing Manager,99372,211-51-3891
7932,267087410,USA,William Gomez,+1-323-506-4082x02040,ashley78@example.org,male,1992-04-21,2022-10-25,Engineering,Full-Stack Engineer,157893,398-95-6218
2514,187405436,India,ஆதிமறை நன்மாறன்,285-381-3561x32193,helllirrkumri@example.com,nonbinary,1980-11-08,2015-08-09,Administrative,General Administrative Assistant,48058,319-92-1534
2283,102562686,India,வசந்தசேனா சந்தனு,(208)864-4224,elllilicairaajveelu@example.com,female,1966-03-31,2013-04-17,Customer Support,Customer Support Manager,100707,311-78-9591
